,High,Low,Fifth,Fourhth,Third,Second,First,Nclose,Mtenth,Mfifteenth,Mtwentieth,Mthirtieth
0,4482,4423,4548,4523,4447,4397,4481,4425,4397,4334,4294,4303
1,4504,4393,4523,4447,4397,4481,4425,4370,4418,4350,4304,4307
2,4419,4353,4447,4397,4481,4425,4370,4320,4431,4358,4314,4308
3,4381,4290,4397,4481,4425,4370,4320,4165,4432,4364,4320,4308
4,4277,4151,4481,4425,4370,4320,4165,4234,4414,4362,4322,4303
5,4238,4144,4425,4370,4320,4165,4234,4156,4391,4366,4326,4301
6,4265,4138,4370,4320,4165,4234,4156,4047,4352,4362,4324,4296
7,4144,4037,4320,4165,4234,4156,4047,4107,4304,4349,4314,4284
8,4110,4038,4165,4234,4156,4047,4107,4097,4270,4335,4308,4275
9,4132,4085,4234,4156,4047,4107,4097,3963,4240,4319,4304,4267
10,4093,3960,4156,4047,4107,4097,3963,3876,4188,4285,4293,4259
11,3945,3851,4047,4107,4097,3963,3876,3943,4133,4240,4276,4247
12,3948,3854,4107,4097,3963,3876,3943,3950,4091,4202,4261,4239
13,3960,3869,4097,3963,3876,3943,3950,3965,4054,4169,4243,4231
14,4016,3946,3963,3876,3943,3950,3965,4007,4034,4140,4224,4226
15,4012,3932,3876,3943,3950,3965,4007,4032,4011,4108,4201,4221
16,4036,4005,3943,3950,3965,4007,4032,4087,3999,4082,4175,4216
17,4088,4006,3950,3965,4007,4032,4087,4031,4002,4063,4153,4210
18,4112,4030,3965,4007,4032,4087,4031,4045,3995,4044,4133,4204
19,4050,3998,4007,4032,4087,4031,4045,4010,3990,4036,4115,4199
20,4070,4008,4032,4087,4031,4045,4010,3995,3994,4021,4091,4193
21,4018,3979,4087,4031,4045,4010,3995,4018,4006,4010,4070,4186
22,4057,3985,4031,4045,4010,3995,4018,4012,4014,4008,4052,4178
23,4035,4000,4045,4010,3995,4018,4012,3928,4020,4002,4037,4169
24,4013,3914,4010,3995,4018,4012,3928,3884,4016,3991,4025,4155
25,3904,3844,3995,4018,4012,3928,3884,3825,4004,3985,4008,4135
26,3894,3820,4018,4012,3928,3884,3825,3770,3983,3982,3991,4111
27,3835,3758,4012,3928,3884,3825,3770,3822,3952,3971,3977,4086
28,3823,3763,3928,3884,3825,3770,3822,3825,3931,3962,3963,4065
29,3864,3823,3884,3825,3770,3822,3825,3887,3909,3953,3949,4046
30,3888,3835,3825,3770,3822,3825,3887,3925,3897,3945,3946,4026
31,3927,3883,3770,3822,3825,3887,3925,3912,3890,3938,3948,4010
32,3964,3908,3822,3825,3887,3925,3912,3902,3879,3926,3946,3995
33,3918,3885,3825,3887,3925,3912,3902,3905,3868,3917,3944,3981
34,3905,3848,3887,3925,3912,3902,3905,3847,3866,3908,3941,3972
35,3923,3833,3925,3912,3902,3905,3847,3857,3862,3897,3933,3959
36,3862,3829,3912,3902,3905,3847,3857,3909,3865,3888,3924,3949
37,3910,3845,3902,3905,3847,3857,3909,3930,3879,3881,3915,3944
38,3940,3912,3905,3847,3857,3909,3930,3979,3890,3875,3910,3939
39,3982,3917,3847,3857,3909,3930,3979,4057,3905,3879,3907,3935
40,4083,3999,3857,3909,3930,3979,4057,4066,3922,3890,3909,3938
41,4118,4056,3909,3930,3979,4057,4066,4012,3936,3906,3913,3944
42,4062,4011,3930,3979,4057,4066,4012,4034,3946,3922,3913,3946
43,4042,3999,3979,4057,4066,4012,4034,4077,3960,3936,3914,3949
44,4090,4046,4057,4066,4012,4034,4077,4106,3977,3953,3921,3953
45,4137,4095,4066,4012,4034,4077,4106,4154,4003,3968,3932,3956
46,4157,4103,4012,4034,4077,4106,4154,4116,4032,3983,3949,3960
47,4166,4103,4034,4077,4106,4154,4116,4082,4053,3997,3966,3961
48,4119,4079,4077,4106,4154,4116,4082,4009,4068,4009,3979,3963
49,4080,3983,4106,4154,4116,4082,4009,3957,4071,4016,3988,3962
50,3992,3922,4154,4116,4082,4009,3957,3934,4061,4023,3992,3960
51,3979,3914,4116,4082,4009,3957,3934,3803,4048,4028,3992,3958
52,3815,3795,4082,4009,3957,3934,3803,3790,4027,4021,3987,3951
