,High,Low,Fifth,Fourhth,Third,Second,First,Nclose,Mtenth,Mfifteenth,Mtwentieth,Mthirtieth
0,28843,28608,29380,29448,28844,28709,28659,28930,29107,29137,29049,29059
1,28971,28772,29448,28844,28709,28659,28930,28503,29099,29111,29078,29038
2,29183,28448,28844,28709,28659,28930,28503,28437,29075,29047,29076,29003
3,28581,28384,28709,28659,28930,28503,28437,28736,28996,28994,29058,28961
4,28784,28435,28659,28930,28503,28437,28736,28622,28924,28978,29040,28946
5,28806,28546,28930,28503,28437,28736,28622,28469,28827,28953,29014,28929
6,28978,28411,28503,28437,28736,28622,28469,28261,28736,28917,28972,28912
7,28484,28209,28437,28736,28622,28469,28261,28192,28617,28885,28912,28891
8,28385,28163,28736,28622,28469,28261,28192,28161,28552,28816,28860,28869
9,28455,28130,28622,28469,28261,28192,28161,28111,28497,28730,28819,28851
10,28249,28031,28469,28261,28192,28161,28111,27457,28442,28631,28774,28847
11,27997,27384,28261,28192,28161,28111,27457,27458,28295,28503,28697,28817
12,27694,27248,28192,28161,28111,27457,27458,27975,28190,28370,28632,28781
13,28017,27624,28161,28111,27457,27458,27975,27957,28144,28312,28570,28753
14,28180,27868,28111,27457,27458,27975,27957,28260,28066,28262,28495,28715
15,28298,27889,27457,27458,27975,27957,28260,28504,28030,28235,28428,28686
16,28530,27889,27458,27975,27957,28260,28504,28516,28034,28207,28385,28659
17,28641,28274,27975,27957,28260,28504,28516,28707,28059,28208,28338,28627
18,28763,28566,27957,28260,28504,28516,28707,28885,28111,28226,28331,28610
19,28906,28622,28260,28504,28516,28707,28885,28879,28183,28236,28340,28607
20,28907,28756,28504,28516,28707,28885,28879,29044,28260,28253,28351,28603
21,29072,28843,28516,28707,28885,28879,29044,28799,28418,28291,28357,28604
22,29094,28721,28707,28885,28879,29044,28799,28666,28553,28327,28371,28606
23,28876,28497,28885,28879,29044,28799,28666,28442,28622,28359,28383,28587
24,28696,28403,28879,29044,28799,28666,28442,27886,28670,28377,28368,28553
25,28539,27802,29044,28799,28666,28442,27886,27676,28633,28362,28331,28497
26,27976,27598,28799,28666,28442,27886,27676,27890,28550,28377,28292,28440
27,27947,27385,28666,28442,27886,27676,27890,27735,28487,28406,28273,28388
28,28087,27621,28442,27886,27676,27890,27735,27437,28390,28390,28250,28351
29,27829,27344,27886,27676,27890,27735,27437,27176,28245,28355,28214,28308
30,27567,27141,27676,27890,27735,27437,27176,27396,28075,28283,28167,28259
31,27482,27073,27890,27735,27437,27176,27396,27225,27910,28209,28164,28208
32,27438,27176,27735,27437,27176,27396,27225,27011,27753,28123,28153,28165
33,27242,26897,27437,27176,27396,27225,27011,27490,27587,28010,28104,28118
34,27537,26897,27176,27396,27225,27011,27490,27440,27492,27917,28081,28076
35,27603,27338,27396,27225,27011,27490,27440,26717,27448,27821,28040,28037
36,27501,26677,27225,27011,27490,27440,26717,26599,27352,27666,27951,27978
37,26850,26423,27011,27490,27440,26717,26599,27105,27223,27519,27855,27923
38,27196,26814,27490,27440,26717,26599,27105,27507,27160,27415,27775,27887
39,27544,27231,27440,26717,26599,27105,27507,26877,27167,27353,27706,27865
40,27502,26837,26717,26599,27105,27507,26877,27251,27137,27285,27606,27824
41,27299,26750,26599,27105,27507,26877,27251,27206,27122,27257,27516,27817
42,27293,26948,27105,27507,26877,27251,27206,27324,27120,27211,27436,27808
43,27379,27159,27507,26877,27251,27206,27324,27687,27151,27184,27369,27787
44,27725,27370,26877,27251,27206,27324,27687,27645,27171,27201,27332,27778
45,27872,27574,27251,27206,27324,27687,27645,27837,27192,27232,27320,27757
46,27903,27743,27206,27324,27687,27645,27837,27809,27304,27261,27328,27735
47,27911,27712,27324,27687,27645,27837,27809,27957,27425,27300,27324,27711
48,28071,27828,27687,27645,27837,27809,27957,27643,27510,27363,27335,27686
49,27903,27614,27645,27837,27809,27957,27643,27531,27523,27373,27345,27645
50,27675,27473,27837,27809,27957,27643,27531,27564,27589,27379,27363,27600
51,27595,27363,27809,27957,27643,27531,27564,27506,27620,27436,27371,27551
52,27666,27354,27957,27643,27531,27564,27506,27828,27650,27496,27385,27508
53,27888,27467,27643,27531,27564,27506,27828,27848,27701,27545,27426,27480
54,27959,27737,27531,27564,27506,27828,27848,27188,27717,27567,27444,27460
55,27902,27146,27564,27506,27828,27848,27188,26837,27671,27588,27431,27437
56,27276,26698,27506,27828,27848,27188,26837,26813,27571,27561,27437,27409
57,26948,26551,27828,27848,27188,26837,26813,26768,27472,27534,27448,27373
58,27014,26718,27848,27188,26837,26813,26768,26523,27353,27497,27431,27341
59,26827,26472,27188,26837,26813,26768,26523,26481,27241,27420,27382,27310
60,26604,26438,26837,26813,26768,26523,26481,26840,27136,27342,27362,27287
61,26934,26493,26813,26768,26523,26481,26840,26370,27063,27276,27342,27268
62,27000,26348,26768,26523,26481,26840,26370,26425,26950,27180,27300,27240
63,26489,26307,26523,26481,26840,26370,26425,26586,26809,27078,27255,27220
64,26728,26307,26481,26840,26370,26425,26586,26686,26683,27007,27200,27190
65,26731,26379,26840,26370,26425,26586,26686,26832,26633,26951,27152,27165
66,26983,26728,26370,26425,26586,26686,26832,27115,26632,26902,27102,27169
67,27175,26910,26425,26586,26686,26832,27115,27316,26663,26876,27067,27186
68,27404,27202,26586,26686,26832,27115,27316,27730,26717,26842,27035,27193
69,27782,27417,26686,26832,27115,27316,27730,27804,26838,26834,27039,27201
70,27882,27666,26832,27115,27316,27730,27804,27729,26970,26875,27053,27232
71,27948,27647,27115,27316,27730,27804,27729,27895,27059,26935,27061,27248
72,27968,27635,27316,27730,27804,27729,27895,27811,27212,27007,27081,27271
73,27921,27675,27730,27804,27729,27895,27811,27645,27350,27076,27080,27287
74,27695,27209,27804,27729,27895,27811,27645,27780,27456,27151,27070,27285
75,27814,27570,27729,27895,27811,27645,27780,28020,27566,27238,27099,27290
76,28099,27799,27895,27811,27645,27780,28020,27945,27685,27316,27158,27296
77,28115,27906,27811,27645,27780,28020,27945,28092,27768,27421,27215,27301
78,28135,27897,27645,27780,28020,27945,28092,28208,27845,27533,27281,27305
79,28235,27774,27780,28020,27945,28092,28208,28171,27893,27641,27366,27324
80,28335,28084,28020,27945,28092,28208,28171,27687,27930,27740,27450,27345
81,28031,27635,27945,28092,28208,28171,27687,27573,27926,27797,27492,27349
82,27798,27540,28092,28208,28171,27687,27573,27661,27893,27827,27553,27352
83,27729,27530,28208,28171,27687,27573,27661,27961,27878,27850,27614,27346
84,28005,27635,28171,27687,27573,27661,27961,27932,27910,27866,27683,27350
85,28018,27853,27687,27573,27661,27961,27932,28198,27925,27874,27745,27375
86,28218,27986,27573,27661,27961,27932,28198,28446,27943,27905,27814,27420
87,28478,28245,27661,27961,27932,28198,28446,28463,27993,27942,27880,27474
88,28576,28417,27961,27932,28198,28446,28463,28420,28030,27986,27938,27531
89,28549,28319,27932,28198,28446,28463,28420,28182,28051,28037,27972,27594
90,28518,28138,28198,28446,28463,28420,28182,28504,28052,28064,27991,27651
91,28546,28070,28446,28463,28420,28182,28504,28370,28134,28096,28030,27706
92,28578,28315,28463,28420,28182,28504,28370,28112,28214,28125,28054,27773
93,28402,28083,28420,28182,28504,28370,28112,27561,28259,28126,28069,27829
94,28117,27529,28182,28504,28370,28112,27561,27459,28219,28083,28064,27862
95,27676,27416,28504,28370,28112,27561,27459,27563,28171,28035,28048,27887
96,27609,27470,28370,28112,27561,27459,27563,27705,28108,28027,28025,27912
97,27854,27649,28112,27561,27459,27563,27705,28114,28034,28036,28013,27931
98,28161,27814,27561,27459,27563,27705,28114,28187,27999,28066,28014,27958
99,28263,28071,27459,27563,27705,28114,28187,28071,27976,28081,28013,27973
100,28264,27866,27563,27705,28114,28187,28071,28223,27965,28090,28008,27982
101,28315,28135,27705,28114,28187,28071,28223,28298,27936,28092,28035,27999
102,28359,28163,28114,28187,28071,28223,28298,28236,27929,28082,28071,28012
103,28335,28193,28187,28071,28223,28298,28236,28101,27942,28067,28100,28026
104,28417,28017,28071,28223,28298,28236,28101,27866,27996,28046,28107,28041
105,28205,27825,28223,28298,28236,28101,27866,27512,28036,28025,28104,28044
106,27883,27479,28298,28236,28101,27866,27512,27549,28031,27958,28070,28027
107,27791,27496,28236,28101,27866,27512,27549,28067,28016,27904,28025,28014
108,28100,27643,28101,27866,27512,27549,28067,27878,28011,27901,28005,28013
109,28095,27739,27866,27512,27549,28067,27878,27831,27980,27922,27978,28002
110,28040,27747,27512,27549,28067,27878,27831,27931,27956,27947,27960,27991
111,28021,27721,27549,28067,27878,27831,27931,27607,27927,27971,27932,27999
112,27964,27564,28067,27878,27831,27931,27607,27366,27858,27965,27893,28000
113,27442,27131,27878,27831,27931,27607,27366,25741,27771,27915,27856,27990
114,26730,25624,27831,27931,27607,27366,25741,26032,27535,27752,27765,27916
115,26124,25298,27931,27607,27366,25741,26032,25714,27351,27616,27694,27853
116,26156,25657,27607,27366,25741,26032,25714,26231,27172,27449,27601,27770
117,26302,25943,27366,25741,26032,25714,26231,26392,27040,27311,27528,27696
118,26687,26270,25741,26032,25714,26231,26392,26283,26872,27188,27442,27627
119,26504,26215,26032,25714,26231,26392,26283,25696,26713,27067,27346,27556
120,26141,25579,25714,26231,26392,26283,25696,25453,26499,26922,27228,27473
121,25939,25395,26231,26392,26283,25696,25453,25764,26251,26785,27089,27372
122,25835,25555,26392,26283,25696,25453,25764,25201,26067,26666,26962,27285
123,25775,25119,26283,25696,25453,25764,25201,24893,25851,26475,26811,27188
124,25387,24851,25696,25453,25764,25201,24893,25317,25766,26276,26650,27099
125,25411,24833,25453,25764,25201,24893,25317,25719,25694,26108,26523,27027
126,25820,25553,25764,25201,24893,25317,25719,25622,25695,25961,26433,26966
127,25733,25287,25201,24893,25317,25719,25622,25610,25634,25828,26337,26896
128,25875,25530,24893,25317,25719,25622,25610,25856,25556,25711,26214,26813
129,25891,25531,25317,25719,25622,25610,25856,25705,25513,25719,26113,26735
130,25909,25649,25719,25622,25610,25856,25705,25963,25514,25697,26007,26656
131,26006,25816,25622,25610,25856,25705,25963,26218,25565,25714,25908,26581
132,26471,26130,25610,25856,25705,25963,26218,26192,25611,25713,25839,26512
